,string
1178,1627.928744
1179,1629.546778
1180,1630.546778
1181,1632.164812
1182,1633.782846
1183,1634.782846
1184,1636.40088
1185,1637.40088
1186,1639.018914
1187,1640.636948
1188,1641.636948
1189,1643.254982
1190,1644.873016
1191,1645.873016
1192,1647.49105
1193,1648.49105
1194,1650.109084
1195,1651.727118
1196,1652.727118
1197,1654.345152
1198,1655.963186
1199,1656.963186
1200,1658.58122
1201,1659.58122
1202,1661.199254
1203,1662.817288
1204,1663.817288
1205,1665.435322
1206,1666.435322
1207,1668.053356
1208,1669.67139
1209,1670.67139
1210,1672.289424
1211,1673.907458
1212,1674.907458
1213,1676.525492
1214,1677.525492
1215,1679.143526
1216,1680.76156
1217,1681.76156
1218,1683.379594
1219,1684.997628
1220,1685.997628
1221,1687.615662
1222,1688.615662
1223,1690.233695
1224,1691.851729
1225,1692.851729
1226,1694.469763
1227,1695.469763
1228,1697.087797
1229,1698.705831
1230,1699.705831
1231,1701.323865
1232,1702.941899
1233,1703.941899
1234,1705.559933
1235,1706.559933
1236,1708.177967
1237,1709.796001
1238,1710.796001
1239,1712.414035
1240,1713.414035
1241,1715.032069
1242,1716.650103
1243,1717.650103
1244,1719.268137
1245,1720.886171
1246,1721.886171
1247,1723.504205
1248,1724.504205
1249,1726.122239
1250,1727.740273
1251,1728.740273
1252,1730.358307
1253,1731.976341
1254,1732.976341
1255,1734.594375
1256,1735.594375
1257,1737.212409
1258,1738.830443
1259,1739.830443
1260,1741.448477
1261,1742.448477
1262,1744.066511
1263,1745.684545
1264,1746.684545
1265,1748.302579
1266,1749.920613
1267,1750.920613
1268,1752.538647
1269,1753.538647
1270,1755.156681
1271,1756.774715
1272,1757.774715
1273,1759.392749
1274,1760.392749
1275,1762.010783
1276,1763.628817
1277,1764.628817
1278,1766.246851
1279,1767.864885
1280,1768.864885
1281,1770.482919
1282,1771.482919
1283,1773.100953
1284,1774.718987
1285,1775.718987
1286,1777.337021
1287,1778.955055
1288,1779.955055
1289,1781.573089
1290,1782.573089
1291,1784.191123
1292,1785.809157
1293,1786.809157
1294,1788.427191
1295,1789.427191
1296,1791.045225
1297,1792.663259
1298,1793.663259
1299,1795.281293
1300,1796.899327
1301,1797.899327
1302,1799.517361
1303,1800.517361
1304,1802.135395
1305,1803.753429
1306,1804.753429
1307,1806.371463
1308,1807.989497
1309,1808.989497
1310,1810.607531
1311,1811.607531
1312,1813.225565
1313,1814.843599
1314,1815.843599
1315,1817.461633
1316,1818.461633
1317,1820.079667
1318,1821.697701
1319,1822.697701
1320,1824.315735
1321,1825.933769
1322,1826.933769
1323,1828.551803
1324,1829.551803
1325,1831.169837
1326,1832.787871
1327,1833.787871
1328,1835.405905
1329,1836.405905
1330,1838.023939
1331,1839.641973
1332,1840.641973
1333,1842.260007
1334,1843.878041
1335,1844.878041
1336,1846.496075
1337,1847.496075
1338,1849.114109
1339,1850.732143
1340,1851.732143
1341,1853.350177
1342,1854.968211
1343,1855.968211
1344,1857.586245
1345,1858.586245
1346,1860.204279
1347,1861.822313
1348,1862.822313
1349,1864.440347
1350,1865.440347
1351,1867.058381
1352,1868.676415
1353,1869.676415
1354,1871.294449
1355,1872.912483
1356,1873.912483
1357,1875.530517
1358,1876.530517
1359,1878.148551
1360,1879.766585
1361,1880.766585
1362,1882.384619
1363,1883.384619
1364,1885.002653
1365,1886.620687
1366,1887.620687
1367,1889.23872
1368,1890.856754
1369,1891.856754
1370,1893.474788
1371,1894.474788
1372,1896.092822
1373,1897.710856
1374,1898.710856
1375,1900.32889
1376,1901.946924
1377,1902.946924
1378,1904.564958
1379,1905.564958
1380,1907.182992
1381,1908.801026
1382,1909.801026
1383,1911.41906
1384,1912.41906
1385,1914.037094
1386,1915.655128
1387,1916.655128
1388,1918.273162
1389,1919.891196
1390,1920.891196
1391,1922.50923
1392,1923.50923
1393,1925.127264
1394,1926.745298
1395,1927.745298
1396,1929.363332
1397,1930.981366
1398,1931.981366
1399,1933.5994
1400,1934.5994
1401,1936.217434
1402,1937.835468
1403,1938.835468
1404,1940.453502
1405,1941.453502
1406,1943.071536
1407,1944.68957
1408,1945.68957
1409,1947.307604
1410,1948.925638
1411,1949.925638
1412,1951.543672
1413,1952.543672
1414,1954.161706
1415,1955.77974
1416,1956.77974
1417,1958.397774
1418,1959.397774
1419,1961.015808
1420,1962.633842
1421,1963.633842
1422,1965.251876
1423,1966.86991
1424,1967.86991
1425,1969.487944
1426,1970.487944
1427,1972.105978
1428,1973.724012
1429,1974.724012
1430,1976.342046
1431,1977.96008
1432,1978.96008
1433,1980.578114
1434,1981.578114
1435,1983.196148
1436,1984.814182
1437,1985.814182
1438,1987.432216
1439,1988.432216
1440,1990.05025
1441,1991.668284
1442,1992.668284
1443,1994.286318
1444,1995.904352
1445,1996.904352
1446,1998.522386
1447,1999.522386
1448,2001.14042
1449,2002.758454
1450,2003.758454
1451,2005.376488
1452,2006.994522
1453,2007.994522
1454,2009.612556
1455,2010.612556
1456,2012.23059
1457,2013.848624
1458,2014.848624
1459,2016.466658
1460,2017.466658
1461,2019.084692
1462,2020.702726
1463,2021.702726
1464,2023.32076
1465,2024.938794
1466,2025.938794
1467,2027.556828
1468,2028.556828
1469,2030.174862
1470,2031.792896
1471,2032.792896
1472,2034.41093
1473,2035.41093
1474,2037.028964
1475,2038.646998
1476,2039.646998
1477,2041.265032
1478,2042.883066
1479,2043.883066
1480,2045.5011
1481,2046.5011
1482,2048.119134
1483,2049.737168
1484,2050.737168
1485,2052.355202
1486,2053.973236
1487,2054.973236
1488,2056.59127
1489,2057.59127
1490,2059.209304
